,,CODIFICACIÓN,,,ETIQUETAS,,,,
1,"Reformular la UEM, en el sentit clar d’incorporar instruments de polítiques fiscals, a més de monetàries.",000,,,,,,,
2,"Derogar el Pacte d’Estabilitat i Creixement que ha de ser substituït per un nou acord econòmic contra la crisi, per l’ocupació, per les infraestructures sostenibles i pels drets socials, compatible amb un espai monetari únic i obert als països de la UE que encara no formen part de la UEM.",000,,,,,,,
3,"Canviar els Estatuts del Banc Central Europeu, per modificar els seus objectius, tot incloent el desenvolupament sostenible i la plena ocupació i sotmetent-lo al control del Parlament Europeu.",000,,,,,,,
4,Substituir urgentment el governador Jean Claude Trichet i renovar l’equip de direcció del BCE.,000,,,,,,,
5,"Impulsar progressivament l’harmonització fiscal als països membres de la Unió Europea sobre la base de tres figures fiscals que gravin la renda personal, els beneficis de les societats i els patrimonis.",000,,,,,,,
6,Acordar una base imposable consolidada comuna de l’Impost de Societats (BICCIS).,000,,,,,,,
7,Augmentar la convergència en l’IVA i els impostos especials.,000,,,,,,,
8,Acabar amb els paradisos fiscals al si de la Unió Europea i impedir coordinadament amb la resta del món els moviments de capitals cap a paradisos fiscals extracomunitaris.,000,,,,,,,
9,Eliminar el secret bancari dins la Unió Europea.,000,,,,,,,
10,"Infraestructures sostenibles: xarxes de transport públic ferroviari; equipaments educatius, sanitaris, culturals i socials; protecció i millora dels espais protegits i de la biodiversitat, etc.",D202,,,NATURALEZA Y BIODIVERSIDAD,,,,
11,"Noves tecnologies: reducció de l’esquerda digital; millora de les xarxes telemàtiques, etc.",000,,,,,,,
12,"Educació: increment dels esforços públics en ensenyament a tots els nivells; suport a la investigació, al desenvolupament i a la innovació; etc.",B102,,,GESTIÓN,EDUCACIÓN,,,
13,"Despesa social: establiment de la renda garantida de ciutadania; garantir una prestació per a les persones que es queden sense cap ingrés; ajuts a la dependència, etc.",B103,,,GESTIÓN,RENTA BÁSICA,,,
14,Transformació del model energètic: increment de les energies renovables; investigació en noves energies.,D402,,,INVESTIGACIÓN,,,,
15,"Increment dels fons propis de la UE, especialment del Fons Social Europeu, per contribuir als objectius enunciats.",000,,,,,,,
16,"Dinamització del Banc Europeu d’Inversions, adreçant-lo fonamentalment al finançament d’infraestructures sostenibles i a programes de cohesió social i territorial i de millora de l’eficiència energètica i a les PIME exportadores.",000,,,,,,,
17,"Accelerar la creació de l’òrgan mundial de supervisió del sistema financer que posi fi definitivament als mecanismes opacs de socialització del risc financer que ens han dut a la crisi. Tota la feina que s’ha de fer no pot servir per tornar a estar com abans, sinó per impedir que ens torni a passar el que ens està passant. No volem un “nou vell ordre financer”.",000,,,,,,,
18,"Limitar els salaris, les primes i altres ingressos i avantatges dels administradors i directius del sector financer, així com de totes les empreses que es vegin beneficiades per ajuts públics.",000,,,,,,,
19,"Donar transparència i gravar els moviments especulatius de capitals , tal i com fa anys defensem els partidaris de propostes equivalents a l’anomenada Taxa Tobin.",A402,,,,,,,
20,"Afavorir la més justa representació dels països en vies de desenvolupament en el Fons Monetari Internacional i el Banc Mundial, així com incloure algunes de les seves monedes en el còctel previst com a nova unitat de compte que ha de servir per reduir l’especulació i la inestabilitat financera mundial.",000,,,,,,,
21,"Contribuir a un canvi radical dels objectius de l’Organització Mundial del Comerç per tal de transformar l’actual agenda de comerç lliure en una agenda de comerç just i sostenible. Això inclou la revisió i progressiva eliminació de les subvencions a l’exportació per part de la Política Agrària Comuna, per evitar més pobresa en els països en vies de desenvolupament.",A202,,,MEDIDAS DE MERCADO,,,,
22,Dotar l’FMI dels fons necessaris per impedir la crisi sistèmica en els països en vies de desenvolupament. Fer el mateix des de la UE i el BCE per a aquells països de la UE que ho necessitin.,000,,,,,,,
23,"Incrementar l’Ajut Oficial al Desenvolupament des del 0’4% del PIB actual fins al 0’56% el 2010, i el 0’7% El 2015. Exigir la consulta al Parlament Europeu en la gestió del Fons Europeu de Desenvolupament que ajuda els països ACP (Àfrica, Carib, Pacífic).",000,,,,,,,
24,"Política industrial: sense caure en el proteccionisme, ajuts selectius a sectors en crisi per tal de superar la fase actual de declivi del consum.",A101,A401,,COMPETITIVIDAD INDUSTRIAL,,,,
25,"Augmentar la inversió en R+D per tal d’assolir l’objectiu de la Unió Europea de destinar el 3% del PIB. La inversió en capital humà, recerca i desenvolupament és un factor d’adaptació als canvis. La competitivitat no pot estar basada en la precarietat laboral i els salaris baixos.",000,,,,,,,
26,Desenvolupar polítiques de cooperació transnacional en matèria d’investigació i desenvolupament.,000,,,,,,,
27,Impulsar polítiques sectorials que donin suport al desenvolupament de la indústria amb un alt valor tecnològic i als serveis d’alt valor afegit.,A101,,,COMPETITIVIDAD INDUSTRIAL,,,,
28,"Introduir normatives que, a l’empara d’allò estipulat en l’Agenda Territorial Europea i en els documents posteriors quant a la cohesió territorial, condueixin a disposar d’instruments per afavorir el comerç urbà i limitin les implantacions comercials que suposen major consum de territori i obliguen a incrementar la mobilitat.",D602,,,ORDENACIÓN TERRITORIAL Y URBANÍSTICA,MOVILIDAD SOSTENIBLE,,,
29,Estimular una major presència de productes locals i de comerç just en l’oferta comercial dels pobles i les ciutats d’Europa.,000,,,,,,,
30,"Estimular el desenvolupament dels mercats de productes locals, tant els que funcionen de manera estable (com els mercats municipals catalans) com els que se celebren esporàdicament (mercats ambulants, fires, etc.).",000,,,,,,,
31,"Contemplar les circumstàncies especials dels petits comerços en els processos de liberalització d’horaris, atenent el dret dels seus treballadors a la conciliació de la vida laboral i personal/familiar i en el marc d’unes polítiques urbanes per als nous usos del temps.",000,,,,,,,
32,"Prestar especial atenció a les condicions laborals en el sector comercial minorista, promoure la formació tant dels propis treballadors i treballadores com la dels titulars dels comerços, en la línia de la modernització dels seus establiments.",000,,,,,,,
33,Promoure la col·laboració i l’intercanvi d’experiències entre centres comercials urbans que s’hagin organitzat sota la fórmula de Business Improvement Districts o Centres Comercials Oberts.,000,,,,,,,
34,Creació d’una Comunitat Europea de les Energies Renovables (CEER) per donar suport a l’objectiu a llarg termini d’obtenir la totalitat de l’energia a partir de fonts renovables.,D403,,,COMBINACIÓN ENERGÉTICA,,,,
35,"Programa europeu d’impuls de les energies renovables, amb l’objectiu de crear 5 milions de llocs de treball a Europa en el sector energètic i altres sectors afins.",D401,,,COMBINACIÓN ENERGÉTICA,,,,
36,"Pel que fa a la subhasta dels permisos d’emissió, cal incloure-hi el major nombre de sectors industrials possible i sotmetre tots els permisos al sistema de subhasta, enlloc d’assignar-los de forma gratuïta.",000,,,,,,,
37,Proposem que la major part dels esforços per reduir les emissions es facin a nivell intern. ICV-EUiA hem estat els únics que hem criticat l’exportació massiva de reduccions d’emissions a països tercers mitjançant la contribució a projectes de l’anomenat Mecanisme de Desenvolupament Net.,000,,,,,,,
38,"Assolir una reducció de les emissions del 40% l’any 2025 (respecte l’any 1990) i del 90% el 2050. La Unió Europea fixa només un objectiu del 20% per a l’any 2020, i del 30 % si hi ha acord a nivell internacional.",D202,,,CAMBIO CLIMÁTICO Y ENERGÍA,,,,
39,"La meitat dels ingressos de les subhastes de permisos d’emissió han d’anar destinats a finançar mesures de lluita contra el canvi climàtic en països empobrits, per tal d’afavorir que segueixin un camí de desenvolupament menys agressiu amb el clima i el medi ambient en general.",000,,,,,,,
40,Introduir mesures d’ajustament a les fronteres per tal que les empreses europees no pateixin desavantatges competitius respecte les importacions de països industrialitzats que no hagin pres mesures per reduir les seves emissions de carboni. Cal també reformar les normes antidumping per tal que les importacions que no hagin subscrit els objectius climàtics internacionals puguin ser castigades per “dumping mediambiental”.,A101,D202,,COMPETITIVIDAD INDUSTRIAL,CAMBIO CLIMÁTICO Y ENERGÍA,INTEGRACIÓN DE POLÍTICAS,,
41,Convertir l’actual objectiu no vinculant de la UE d’aconseguir almenys un 20% d’estalvi energètic el 2020 en un objectiu vinculant associat amb polítiques concretes per al seu acompliment.,D202,,,CAMBIO CLIMÁTICO Y ENERGÍA,,,,
42,"Assolir que a l’any 2020 un 35% de l’energia procedeixi de fonts renovables, amb un 15% en els sistemes de calefacció i refrigeració. Cal avançar, en conseqüència, cap a la descentralització de la producció energètica.",D402,,,COMBINACIÓN ENERGÉTICA,,,,
43,"Reforçar en voluntat política, recursos i capacitat d’influència el Procés de Cardiff d’integració de les consideracions ambientals i sostenibilistes en polítiques sectorials de la Unió, com ara les relatives a l’energia, el transport, la indústria i l’agricultura.",D202,,,INTEGRACIÓN DE POLÍTICAS,,,,
44,"Avançar vers la cessió de competències en matèria fiscal i energètica cap a la Unió, i fer-ho de manera decidida. L’instrument clau per canviar de model energètic és la fiscalitat ambiental, inspirada en el principi de qui contamina paga i d’internalització dels costos econòmics, socials i ambientals de les activitats econòmiques. Les ecotaxes són una eina crucial per assolir els compromisos del Protocol de Kyoto. La norma de la unanimitat ha llastrat fins ara el desenvolupament d’una fiscalitat ambiental en l’àmbit de la UE.",D103,,,ENERGÍA,,,,
45,"ICV-EUiA reitera el seu compromís pel tancament gradual de les centrals nuclears. El Pla pont per a l’energia nuclear ha de permetre el tancament de les centrals nuclears, tot assegurant el subministrament a partir de fonts netes. Es tracta de definir un període de transició un cop les centrals nuclears estiguin amortitzades, establint una pròrroga durant la qual es generaria un fons a partir dels beneficis de les centrals. En el cas espanyol, la pròrroga seria de 5 anys i el fons tindria el següent repartiment: 20% destinat al manteniment i seguretat de les centrals, 15% al gestor de la central corresponent, 15% destinat a la dinamització social i econòmica de les zones més directament afectades pel futur tancament de les CCNN (amb participació dels seus ajuntaments), 50% per a l’impuls i la inversió en plans d’energies renovables i de millora de l’estalvi i l’eficiència energètica.",D503,,,ENERGÍA NUCLEAR,,,,
46,"Assolir una reducció del 30% del consum energètic en habitatges i edificis comercials l’any 2020. Pel que fa als aparells elèctrics, assolir una reducció entre el 40 i el 60% en la mateixa data. Les mesures adreçades al sector de la construcció han de permetre avançar cap a l’objectiu que les cases de nova edificació tinguin un consum net d’energia zero i cap a la millora energètica dels edificis existents. Aquesta és una oportunitat excel·lent per reactivar el sector de la construcció sobre bases noves i sostenibles. Les mesures per a la retirada progressiva dels aparells elèctrics menys eficients energèticament afavoreixen el desenvolupament de R+D i la indústria de més alt valor afegit.",D602,,,CONSTRUCCIÓN SOSTENIBLE,,,,
47,Incorporar als programes de recuperació econòmica de la UE la rehabilitació dels edificis per aconseguir una menor despesa energètica.,D602,,,CONSTRUCCIÓN SOSTENIBLE,,,,
48,"Permetre que els Fons FEDER puguin ser destinats a cofinançar programes de reducció de la despesa energètica de les llars, a través de les corresponents mesures estatals, regionals o locals per a l’aïllament de parets, sostres i finestres, panells solars, substitució de sistemes de calefacció ineficients, etc I que aquests ajuts, donat que han de servir per millorar el parc d’habitatges i alhora reduir la despesa energètica dels països, s’adrecin al màxim nombre de beneficiaris.",D602,,,CONSTRUCCIÓN SOSTENIBLE,,,,
49,"Prioritzar, en el marc de les xarxes transeuropees, les de transport per ferrocarril i transport marítim; és a dir, els dos sistemes de transport de llarga distància menys contaminants. És per aquestes vies que Catalunya pot explotar el seu paper logístic en el corredor i la regió euromediterrània sense posar en risc el seu futur a mitjà termini i amb criteris i prioritats sostenibles.",000,,,,,,,
50,"Gravar els combustibles que utilitza l’aviació. En la línia de construir un sistema de transport més sostenible, amb menys emissions de gasos d’efecte hivernacle i que tendeixi a internalitzar els costos econòmics, socials i ambientals que produeix, ICV-EUiA reclamem que la UE es doti d’un sistema fiscal que gravi els combustibles que usa l’aviació, i que les emissions de gasos d’efecte hivernacle que produeix siguin comptabilitzades per al compliment del Protocol de Kyoto i els futurs acords internacionals sobre canvi climàtic.",D102,D402,,ENERGÍA,SECTORES ENERGÉTICOS,,,
51,"Cal ser exigents amb el compliment dels compromisos que representa la protecció del territori Natura 2000, afavorir, alhora, el desenvolupament d’activitats econòmiques compatibles i augmentar els recursos per al manteniment dels sistemes agraris.",D202,,,NATURALEZA Y BIODIVERSIDAD,,,,
52,"Desplegament de la directiva marc de residus que ha de permetre l’impuls dels criteris sostenibilistes: reduir, recollir selectivament, reciclar i reutilitzar, valoritzar materialment i/o energèticament.",000,,,,,,,
53,"Promoure l’establiment de l’ecoetiquetatge, per tal de diferenciar els productes ambientalment correctes d’aquells que no ho són.",A102,,,ECO ETIQUETADO,,,,
54,"Continuar impulsant la nova cultura de l’aigua de la qual a Catalunya som pioners. La Nova Cultura de l’Aigua es basa en l’estalvi i la reducció del consum, la reutilització i l’eficiència en la distribució i la recuperació d’aqüífers per incrementar la disponibilitat del recurs. La NCA implica un model territorial diferent que disminueixi el ritme d’ocupació del sòl, fomenti la ciutat compacta, de tipus mediterrani, enfront del model de ciutat difusa i de grans projectes d’urbanització que promou un gran consum d’aigua.",D302,D602,,AGUA,,,,
55,"Augmentar els recursos econòmics comunitaris destinats a les mesures agroambientals de sosteniment dels ecosistemes agraris i dels patrimonis culturals de l’entorn agrícola: - Xarxa Natura 2000 amb suficiència de recursos en els àmbits agraris i forestals. - Manteniment de sòls mediterranis terrassats, mesures contra l’erosió, etc. - Programes de manteniment de races i espècies vegetals autòctones, amb tècniques tradicionals de millora productiva. - Investigació i incentivació de l’aprofitament d’espècies vegetals autòctones per a la indústria de transformats no alimentaris: perfumeria, salut, ornamentació, jardineria, etc. - Suport econòmic per al manteniment de construccions populars tradicionals agrícoles que defineixen el paisatge agrari: marges, refugis, acumuladors d’aigües pluvials, etc. - Programa econòmic per al manteniment de zones característiques encara que no tinguin figura de protecció declarada: estepes, timonedes, boscatges de garric, pinedes, alzinars, etc.",D202,D302,,NATURALEZA Y BIODIVERSIDAD,ECONOMÍA E INCENTIVOS,,,
56,"Destinar un fons suficient de capital per a l’escomesa de la modernització progressiva de regadius, sobretot en l’àmbit mediterrani, que n’asseguri l’eficiència i l’estalvi d’aigua.",A202,D302,,DESARROLLO RURAL,AGUA,,,
57,"Establir un programa específic per al sosteniment de la silvicultura mediterrània, en què els boscos no són econòmicament rendibles, però en què llur gestió és imprescindible per al manteniment del medi. Incentivació de la producció de biomassa per a generació d’energia i del pasturatge extensiu com a prevenció d’incendis i com a recuperació d’un treball tradicional i capaç de nous llocs de treball.",D302,,,SECTOR FORESTAL,,,,
58,"Incentivar la recerca i la transferència tecnològica en matèria de lluita integrada contra les plagues a fi de reduir els plaguicides fitosanitaris en els cultius, propugnar un major reconeixement comunitari per a les produccions que en sorgeixin.",A202,,,DESARROLLO RURAL,,,,
59,Reducció progressiva de productes fitosanitaris sintètics no imprescindibles per a la producció.,A202,,,CONDICIONALIDAD,,,,
60,"Incentivar la recerca i la transferència de tecnologia per a una indústria d’adobs orgànics procedents dels propis recursos agropecuaris, de manera que l’agricultor pugui anar prescindint dels adobs químics.",A202,,,DESARROLLO RURAL,,,,
61,Establir un pla integral per a la conversió de les dejeccions ramaderes en oportunitats d’obtenció d’energia (metà) i adobs orgànics d’alt rendiment.,D402,,,COMBINACIÓN ENERGÉTICA,,,,
62,Protegir el 40% de la superfície marina que depèn de la UE.,D202,,,INTEGRACIÓN DE POLÍTICAS,,,,
63,"Augment dels recursos per a la investigació del medi marí pel que fa a l’existència de recursos, a la seva capacitat de generació i pel que fa a l’estat de l’ecosistema aquàtic. Accés de les entitats de custòdia del medi marítim a aquests recursos de recerca i de gestió dels espais protegits.",D302,,,MEDIO MARINO,,,,
64,Aplicar la moratòria a la pesca de la tonyina vermella.,D203,,,INTEGRACIÓN DE POLÍTICAS,,,,
65,"Revisar i fer seguiment de les inspeccions administratives en períodes d’aturada biològica de la pesca marina i de la continental, especialment a la Mediterrània.",A303,,,,,,,
66,Revisar les arts de pesca lesives del medi marítim de les flotes comunitàries i seguiment de les inspeccions pel que fa als usos d’aquestes. Reducció de les arts d’arrossegament.,A302,,,GESTIÓN FLOTA,,,,
67,Sancionar les cadenes de distribució que venguin peix capturat de manera il·legal.,A302,,,MECANISMOS DE MERCADO,,,,
68,"Incentivar la recerca per a una aqüicultura responsable. Legislar en aquesta matèria a fi d’assegurar els aspectes de sostenibilitat, produccions eficients, sanitat dels productes alimentaris, responsabilitat mediambiental en la repoblació d’espècies, etc.",D202,,,INTEGRACIÓN DE POLÍTICAS,,,,
69,"Dotació de majors recursos econòmics comunitaris per a l’adequació de les embarcacions a l’esforç pesquer possible en cada estat o regió, especialment en la pesca mediterrània.",A301,,,AYUDAS,GESTIÓN FLOTA,,,
70,"La UE declararà, en primera instància, una moratòria pel que fa al cultiu d’aliments modificats genèticament (OGM) i pel que fa a la importació d’aquests fruits.",A203,D203,,OGM,INTEGRACIÓN DE POLÍTICAS,,,
71,La UE establirà una directiva que prohibirà en tot el seu àmbit la producció d’aliments cultivats a partir de llavors o de plançons transgènics.,A203,D203,,OGM,INTEGRACIÓN DE POLÍTICAS,,,
72,La investigació amb OMG serà restringida a fins científics i els cultius respectius sempre confinats per tal d’evitar la contaminació de produccions tradicionals o ecològiques.,A202,,,OGM,,,,
