,,CODIFICACIÓN,,,ETIQUETADO,,,,,
1,"El Pacto de Estabilidad y Crecimiento debe ser reemplazado por un nuevo Pacto de Solidaridad que se centre en el desarrollo humano, en el pleno empleo y en la protección social y ambiental. Igualmente, es necesario sustituir la Estrategia de Lisboa por una «Estrategia Europea para la Solidaridad y el Desarrollo Sostenible» centrada en una serie de nuevas políticas económicas, sociales y ambientales que fomenten la inversión: • en infraestructuras básicas imprescindibles y el apoyo a la industria limpia,
• en los servicios públicos,
• en una sólida política de cohesión, con el fin de promover la cohesión social, territorial y económica,
• en la economía social, como generadora de empleo de mayor calidad, más estable y democrático,
• en la protección del medio ambiente y en las tecnologías limpias,
• en la mejora de las normas laborales, sociales, ambientales y de seguridad, a fin de conseguir una armonización europea en el nivel más exigente,
• en la protección social, con el fin de erradicar la pobreza y luchar contra la exclusión social,
• en la implantación de la renta básica que garantice a todas las personas una existencia digna,
• en la instauración de un sistema de protección a las personas dependientes,
• en la investigación y la innovación (públicas), con el fin de garantizar que estas actividades beneficien a todas las personas,
• en la promoción de la cultura y la participación civil;El Pacto de Estabilidad y Crecimiento debe ser reemplazado por un nuevo Pacto de Solidaridad que se centre en el desarrollo humano, en el pleno empleo y en la protección social y ambiental. Igualmente, es necesario sustituir la Estrategia de Lisboa por una «Estrategia Europea para la Solidaridad y el Desarrollo Sostenible» centrada en una serie de nuevas políticas económicas, sociales y ambientales que fomenten la inversión: • en infraestructuras básicas imprescindibles y el apoyo a la industria limpia,
• en los servicios públicos,
• en una sólida política de cohesión, con el fin de promover la cohesión social, territorial y económica,
• en la economía social, como generadora de empleo de mayor calidad, más estable y democrático,
• en la protección del medio ambiente y en las tecnologías limpias,
• en la mejora de las normas laborales, sociales, ambientales y de seguridad, a fin de conseguir una armonización europea en el nivel más exigente,
• en la protección social, con el fin de erradicar la pobreza y luchar contra la exclusión social,
• en la implantación de la renta básica que garantice a todas las personas una existencia digna,
• en la instauración de un sistema de protección a las personas dependientes,
• en la investigación y la innovación (públicas), con el fin de garantizar que estas actividades beneficien a todas las personas,
• en la promoción de la cultura y la participación civil;El Pacto de Estabilidad y Crecimiento debe ser reemplazado por un nuevo Pacto de Solidaridad que se centre en el desarrollo humano, en el pleno empleo y en la protección social y ambiental. Igualmente, es necesario sustituir la Estrategia de Lisboa por una «Estrategia Europea para la Solidaridad y el Desarrollo Sostenible» centrada en una serie de nuevas políticas económicas, sociales y ambientales que fomenten la inversión: • en infraestructuras básicas imprescindibles y el apoyo a la industria limpia,
• en los servicios públicos,
• en una sólida política de cohesión, con el fin de promover la cohesión social, territorial y económica,
• en la economía social, como generadora de empleo de mayor calidad, más estable y democrático,
• en la protección del medio ambiente y en las tecnologías limpias,
• en la mejora de las normas laborales, sociales, ambientales y de seguridad, a fin de conseguir una armonización europea en el nivel más exigente,
• en la protección social, con el fin de erradicar la pobreza y luchar contra la exclusión social,
• en la implantación de la renta básica que garantice a todas las personas una existencia digna,
• en la instauración de un sistema de protección a las personas dependientes,
• en la investigación y la innovación (públicas), con el fin de garantizar que estas actividades beneficien a todas las personas,
• en la promoción de la cultura y la participación civil;El Pacto de Estabilidad y Crecimiento debe ser reemplazado por un nuevo Pacto de Solidaridad que se centre en el desarrollo humano, en el pleno empleo y en la protección social y ambiental. Igualmente, es necesario sustituir la Estrategia de Lisboa por una «Estrategia Europea para la Solidaridad y el Desarrollo Sostenible» centrada en una serie de nuevas políticas económicas, sociales y ambientales que fomenten la inversión: • en infraestructuras básicas imprescindibles y el apoyo a la industria limpia,
• en los servicios públicos,
• en una sólida política de cohesión, con el fin de promover la cohesión social, territorial y económica,
• en la economía social, como generadora de empleo de mayor calidad, más estable y democrático,
• en la protección del medio ambiente y en las tecnologías limpias,
• en la mejora de las normas laborales, sociales, ambientales y de seguridad, a fin de conseguir una armonización europea en el nivel más exigente,
• en la protección social, con el fin de erradicar la pobreza y luchar contra la exclusión social,
• en la implantación de la renta básica que garantice a todas las personas una existencia digna,
• en la instauración de un sistema de protección a las personas dependientes,
• en la investigación y la innovación (públicas), con el fin de garantizar que estas actividades beneficien a todas las personas,
• en la promoción de la cultura y la participación civil;El Pacto de Estabilidad y Crecimiento debe ser reemplazado por un nuevo Pacto de Solidaridad que se centre en el desarrollo humano, en el pleno empleo y en la protección social y ambiental. Igualmente, es necesario sustituir la Estrategia de Lisboa por una «Estrategia Europea para la Solidaridad y el Desarrollo Sostenible» centrada en una serie de nuevas políticas económicas, sociales y ambientales que fomenten la inversión: • en infraestructuras básicas imprescindibles y el apoyo a la industria limpia,
• en los servicios públicos,
• en una sólida política de cohesión, con el fin de promover la cohesión social, territorial y económica,
• en la economía social, como generadora de empleo de mayor calidad, más estable y democrático,
• en la protección del medio ambiente y en las tecnologías limpias,
• en la mejora de las normas laborales, sociales, ambientales y de seguridad, a fin de conseguir una armonización europea en el nivel más exigente,
• en la protección social, con el fin de erradicar la pobreza y luchar contra la exclusión social,
• en la implantación de la renta básica que garantice a todas las personas una existencia digna,
• en la instauración de un sistema de protección a las personas dependientes,
• en la investigación y la innovación (públicas), con el fin de garantizar que estas actividades beneficien a todas las personas,
• en la promoción de la cultura y la participación civil;El Pacto de Estabilidad y Crecimiento debe ser reemplazado por un nuevo Pacto de Solidaridad que se centre en el desarrollo humano, en el pleno empleo y en la protección social y ambiental. Igualmente, es necesario sustituir la Estrategia de Lisboa por una «Estrategia Europea para la Solidaridad y el Desarrollo Sostenible» centrada en una serie de nuevas políticas económicas, sociales y ambientales que fomenten la inversión: • en infraestructuras básicas imprescindibles y el apoyo a la industria limpia,
• en los servicios públicos,
• en una sólida política de cohesión, con el fin de promover la cohesión social, territorial y económica,
• en la economía social, como generadora de empleo de mayor calidad, más estable y democrático,
• en la protección del medio ambiente y en las tecnologías limpias,
• en la mejora de las normas laborales, sociales, ambientales y de seguridad, a fin de conseguir una armonización europea en el nivel más exigente,
• en la protección social, con el fin de erradicar la pobreza y luchar contra la exclusión social,
• en la implantación de la renta básica que garantice a todas las personas una existencia digna,
• en la instauración de un sistema de protección a las personas dependientes,
• en la investigación y la innovación (públicas), con el fin de garantizar que estas actividades beneficien a todas las personas,
• en la promoción de la cultura y la participación civil;El Pacto de Estabilidad y Crecimiento debe ser reemplazado por un nuevo Pacto de Solidaridad que se centre en el desarrollo humano, en el pleno empleo y en la protección social y ambiental. Igualmente, es necesario sustituir la Estrategia de Lisboa por una «Estrategia Europea para la Solidaridad y el Desarrollo Sostenible» centrada en una serie de nuevas políticas económicas, sociales y ambientales que fomenten la inversión: • en infraestructuras básicas imprescindibles y el apoyo a la industria limpia,
• en los servicios públicos,
• en una sólida política de cohesión, con el fin de promover la cohesión social, territorial y económica,
• en la economía social, como generadora de empleo de mayor calidad, más estable y democrático,
• en la protección del medio ambiente y en las tecnologías limpias,
• en la mejora de las normas laborales, sociales, ambientales y de seguridad, a fin de conseguir una armonización europea en el nivel más exigente,
• en la protección social, con el fin de erradicar la pobreza y luchar contra la exclusión social,
• en la implantación de la renta básica que garantice a todas las personas una existencia digna,
• en la instauración de un sistema de protección a las personas dependientes,
• en la investigación y la innovación (públicas), con el fin de garantizar que estas actividades beneficien a todas las personas,
• en la promoción de la cultura y la participación civil;El Pacto de Estabilidad y Crecimiento debe ser reemplazado por un nuevo Pacto de Solidaridad que se centre en el desarrollo humano, en el pleno empleo y en la protección social y ambiental. Igualmente, es necesario sustituir la Estrategia de Lisboa por una «Estrategia Europea para la Solidaridad y el Desarrollo Sostenible» centrada en una serie de nuevas políticas económicas, sociales y ambientales que fomenten la inversión: • en infraestructuras básicas imprescindibles y el apoyo a la industria limpia,
• en los servicios públicos,
• en una sólida política de cohesión, con el fin de promover la cohesión social, territorial y económica,
• en la economía social, como generadora de empleo de mayor calidad, más estable y democrático,
• en la protección del medio ambiente y en las tecnologías limpias,
• en la mejora de las normas laborales, sociales, ambientales y de seguridad, a fin de conseguir una armonización europea en el nivel más exigente,
• en la protección social, con el fin de erradicar la pobreza y luchar contra la exclusión social,
• en la implantación de la renta básica que garantice a todas las personas una existencia digna,
• en la instauración de un sistema de protección a las personas dependientes,
• en la investigación y la innovación (públicas), con el fin de garantizar que estas actividades beneficien a todas las personas,
• en la promoción de la cultura y la participación civil;El Pacto de Estabilidad y Crecimiento debe ser reemplazado por un nuevo Pacto de Solidaridad que se centre en el desarrollo humano, en el pleno empleo y en la protección social y ambiental. Igualmente, es necesario sustituir la Estrategia de Lisboa por una «Estrategia Europea para la Solidaridad y el Desarrollo Sostenible» centrada en una serie de nuevas políticas económicas, sociales y ambientales que fomenten la inversión: • en infraestructuras básicas imprescindibles y el apoyo a la industria limpia,
• en los servicios públicos,
• en una sólida política de cohesión, con el fin de promover la cohesión social, territorial y económica,
• en la economía social, como generadora de empleo de mayor calidad, más estable y democrático,
• en la protección del medio ambiente y en las tecnologías limpias,
• en la mejora de las normas laborales, sociales, ambientales y de seguridad, a fin de conseguir una armonización europea en el nivel más exigente,
• en la protección social, con el fin de erradicar la pobreza y luchar contra la exclusión social,
• en la implantación de la renta básica que garantice a todas las personas una existencia digna,
• en la instauración de un sistema de protección a las personas dependientes,
• en la investigación y la innovación (públicas), con el fin de garantizar que estas actividades beneficien a todas las personas,
• en la promoción de la cultura y la participación civil;El Pacto de Estabilidad y Crecimiento debe ser reemplazado por un nuevo Pacto de Solidaridad que se centre en el desarrollo humano, en el pleno empleo y en la protección social y ambiental. Igualmente, es necesario sustituir la Estrategia de Lisboa por una «Estrategia Europea para la Solidaridad y el Desarrollo Sostenible» centrada en una serie de nuevas políticas económicas, sociales y ambientales que fomenten la inversión: • en infraestructuras básicas imprescindibles y el apoyo a la industria limpia,
• en los servicios públicos,
• en una sólida política de cohesión, con el fin de promover la cohesión social, territorial y económica,
• en la economía social, como generadora de empleo de mayor calidad, más estable y democrático,
• en la protección del medio ambiente y en las tecnologías limpias,
• en la mejora de las normas laborales, sociales, ambientales y de seguridad, a fin de conseguir una armonización europea en el nivel más exigente,
• en la protección social, con el fin de erradicar la pobreza y luchar contra la exclusión social,
• en la implantación de la renta básica que garantice a todas las personas una existencia digna,
• en la instauración de un sistema de protección a las personas dependientes,
• en la investigación y la innovación (públicas), con el fin de garantizar que estas actividades beneficien a todas las personas,
• en la promoción de la cultura y la participación civil;El Pacto de Estabilidad y Crecimiento debe ser reemplazado por un nuevo Pacto de Solidaridad que se centre en el desarrollo humano, en el pleno empleo y en la protección social y ambiental. Igualmente, es necesario sustituir la Estrategia de Lisboa por una «Estrategia Europea para la Solidaridad y el Desarrollo Sostenible» centrada en una serie de nuevas políticas económicas, sociales y ambientales que fomenten la inversión: • en infraestructuras básicas imprescindibles y el apoyo a la industria limpia,
• en los servicios públicos,
• en una sólida política de cohesión, con el fin de promover la cohesión social, territorial y económica,
• en la economía social, como generadora de empleo de mayor calidad, más estable y democrático,
• en la protección del medio ambiente y en las tecnologías limpias,
• en la mejora de las normas laborales, sociales, ambientales y de seguridad, a fin de conseguir una armonización europea en el nivel más exigente,
• en la protección social, con el fin de erradicar la pobreza y luchar contra la exclusión social,
• en la implantación de la renta básica que garantice a todas las personas una existencia digna,
• en la instauración de un sistema de protección a las personas dependientes,
• en la investigación y la innovación (públicas), con el fin de garantizar que estas actividades beneficien a todas las personas,
• en la promoción de la cultura y la participación civil;El Pacto de Estabilidad y Crecimiento debe ser reemplazado por un nuevo Pacto de Solidaridad que se centre en el desarrollo humano, en el pleno empleo y en la protección social y ambiental. Igualmente, es necesario sustituir la Estrategia de Lisboa por una «Estrategia Europea para la Solidaridad y el Desarrollo Sostenible» centrada en una serie de nuevas políticas económicas, sociales y ambientales que fomenten la inversión: • en infraestructuras básicas imprescindibles y el apoyo a la industria limpia,
• en los servicios públicos,
• en una sólida política de cohesión, con el fin de promover la cohesión social, territorial y económica,
• en la economía social, como generadora de empleo de mayor calidad, más estable y democrático,
• en la protección del medio ambiente y en las tecnologías limpias,
• en la mejora de las normas laborales, sociales, ambientales y de seguridad, a fin de conseguir una armonización europea en el nivel más exigente,
• en la protección social, con el fin de erradicar la pobreza y luchar contra la exclusión social,
• en la implantación de la renta básica que garantice a todas las personas una existencia digna,
• en la instauración de un sistema de protección a las personas dependientes,
• en la investigación y la innovación (públicas), con el fin de garantizar que estas actividades beneficien a todas las personas,
• en la promoción de la cultura y la participación civil;El Pacto de Estabilidad y Crecimiento debe ser reemplazado por un nuevo Pacto de Solidaridad que se centre en el desarrollo humano, en el pleno empleo y en la protección social y ambiental. Igualmente, es necesario sustituir la Estrategia de Lisboa por una «Estrategia Europea para la Solidaridad y el Desarrollo Sostenible» centrada en una serie de nuevas políticas económicas, sociales y ambientales que fomenten la inversión: • en infraestructuras básicas imprescindibles y el apoyo a la industria limpia,
• en los servicios públicos,
• en una sólida política de cohesión, con el fin de promover la cohesión social, territorial y económica,
• en la economía social, como generadora de empleo de mayor calidad, más estable y democrático,
• en la protección del medio ambiente y en las tecnologías limpias,
• en la mejora de las normas laborales, sociales, ambientales y de seguridad, a fin de conseguir una armonización europea en el nivel más exigente,
• en la protección social, con el fin de erradicar la pobreza y luchar contra la exclusión social,
• en la implantación de la renta básica que garantice a todas las personas una existencia digna,
• en la instauración de un sistema de protección a las personas dependientes,
• en la investigación y la innovación (públicas), con el fin de garantizar que estas actividades beneficien a todas las personas,
• en la promoción de la cultura y la participación civil;El Pacto de Estabilidad y Crecimiento debe ser reemplazado por un nuevo Pacto de Solidaridad que se centre en el desarrollo humano, en el pleno empleo y en la protección social y ambiental. Igualmente, es necesario sustituir la Estrategia de Lisboa por una «Estrategia Europea para la Solidaridad y el Desarrollo Sostenible» centrada en una serie de nuevas políticas económicas, sociales y ambientales que fomenten la inversión: • en infraestructuras básicas imprescindibles y el apoyo a la industria limpia,
• en los servicios públicos,
• en una sólida política de cohesión, con el fin de promover la cohesión social, territorial y económica,
• en la economía social, como generadora de empleo de mayor calidad, más estable y democrático,
• en la protección del medio ambiente y en las tecnologías limpias,
• en la mejora de las normas laborales, sociales, ambientales y de seguridad, a fin de conseguir una armonización europea en el nivel más exigente,
• en la protección social, con el fin de erradicar la pobreza y luchar contra la exclusión social,
• en la implantación de la renta básica que garantice a todas las personas una existencia digna,
• en la instauración de un sistema de protección a las personas dependientes,
• en la investigación y la innovación (públicas), con el fin de garantizar que estas actividades beneficien a todas las personas,
• en la promoción de la cultura y la participación civil;El Pacto de Estabilidad y Crecimiento debe ser reemplazado por un nuevo Pacto de Solidaridad que se centre en el desarrollo humano, en el pleno empleo y en la protección social y ambiental. Igualmente, es necesario sustituir la Estrategia de Lisboa por una «Estrategia Europea para la Solidaridad y el Desarrollo Sostenible» centrada en una serie de nuevas políticas económicas, sociales y ambientales que fomenten la inversión: • en infraestructuras básicas imprescindibles y el apoyo a la industria limpia,
• en los servicios públicos,
• en una sólida política de cohesión, con el fin de promover la cohesión social, territorial y económica,
• en la economía social, como generadora de empleo de mayor calidad, más estable y democrático,
• en la protección del medio ambiente y en las tecnologías limpias,
• en la mejora de las normas laborales, sociales, ambientales y de seguridad, a fin de conseguir una armonización europea en el nivel más exigente,
• en la protección social, con el fin de erradicar la pobreza y luchar contra la exclusión social,
• en la implantación de la renta básica que garantice a todas las personas una existencia digna,
• en la instauración de un sistema de protección a las personas dependientes,
• en la investigación y la innovación (públicas), con el fin de garantizar que estas actividades beneficien a todas las personas,
• en la promoción de la cultura y la participación civil;El Pacto de Estabilidad y Crecimiento debe ser reemplazado por un nuevo Pacto de Solidaridad que se centre en el desarrollo humano, en el pleno empleo y en la protección social y ambiental. Igualmente, es necesario sustituir la Estrategia de Lisboa por una «Estrategia Europea para la Solidaridad y el Desarrollo Sostenible» centrada en una serie de nuevas políticas económicas, sociales y ambientales que fomenten la inversión: • en infraestructuras básicas imprescindibles y el apoyo a la industria limpia,
• en los servicios públicos,
• en una sólida política de cohesión, con el fin de promover la cohesión social, territorial y económica,
• en la economía social, como generadora de empleo de mayor calidad, más estable y democrático,
• en la protección del medio ambiente y en las tecnologías limpias,
• en la mejora de las normas laborales, sociales, ambientales y de seguridad, a fin de conseguir una armonización europea en el nivel más exigente,
• en la protección social, con el fin de erradicar la pobreza y luchar contra la exclusión social,
• en la implantación de la renta básica que garantice a todas las personas una existencia digna,
• en la instauración de un sistema de protección a las personas dependientes,
• en la investigación y la innovación (públicas), con el fin de garantizar que estas actividades beneficien a todas las personas,
• en la promoción de la cultura y la participación civil;El Pacto de Estabilidad y Crecimiento debe ser reemplazado por un nuevo Pacto de Solidaridad que se centre en el desarrollo humano, en el pleno empleo y en la protección social y ambiental. Igualmente, es necesario sustituir la Estrategia de Lisboa por una «Estrategia Europea para la Solidaridad y el Desarrollo Sostenible» centrada en una serie de nuevas políticas económicas, sociales y ambientales que fomenten la inversión: • en infraestructuras básicas imprescindibles y el apoyo a la industria limpia,
• en los servicios públicos,
• en una sólida política de cohesión, con el fin de promover la cohesión social, territorial y económica,
• en la economía social, como generadora de empleo de mayor calidad, más estable y democrático,
• en la protección del medio ambiente y en las tecnologías limpias,
• en la mejora de las normas laborales, sociales, ambientales y de seguridad, a fin de conseguir una armonización europea en el nivel más exigente,
• en la protección social, con el fin de erradicar la pobreza y luchar contra la exclusión social,
• en la implantación de la renta básica que garantice a todas las personas una existencia digna,
• en la instauración de un sistema de protección a las personas dependientes,
• en la investigación y la innovación (públicas), con el fin de garantizar que estas actividades beneficien a todas las personas,
• en la promoción de la cultura y la participación civil;El Pacto de Estabilidad y Crecimiento debe ser reemplazado por un nuevo Pacto de Solidaridad que se centre en el desarrollo humano, en el pleno empleo y en la protección social y ambiental. Igualmente, es necesario sustituir la Estrategia de Lisboa por una «Estrategia Europea para la Solidaridad y el Desarrollo Sostenible» centrada en una serie de nuevas políticas económicas, sociales y ambientales que fomenten la inversión: • en infraestructuras básicas imprescindibles y el apoyo a la industria limpia,
• en los servicios públicos,
• en una sólida política de cohesión, con el fin de promover la cohesión social, territorial y económica,
• en la economía social, como generadora de empleo de mayor calidad, más estable y democrático,
• en la protección del medio ambiente y en las tecnologías limpias,
• en la mejora de las normas laborales, sociales, ambientales y de seguridad, a fin de conseguir una armonización europea en el nivel más exigente,
• en la protección social, con el fin de erradicar la pobreza y luchar contra la exclusión social,
• en la implantación de la renta básica que garantice a todas las personas una existencia digna,
• en la instauración de un sistema de protección a las personas dependientes,
• en la investigación y la innovación (públicas), con el fin de garantizar que estas actividades beneficien a todas las personas,
• en la promoción de la cultura y la participación civil;El Pacto de Estabilidad y Crecimiento debe ser reemplazado por un nuevo Pacto de Solidaridad que se centre en el desarrollo humano, en el pleno empleo y en la protección social y ambiental. Igualmente, es necesario sustituir la Estrategia de Lisboa por una «Estrategia Europea para la Solidaridad y el Desarrollo Sostenible» centrada en una serie de nuevas políticas económicas, sociales y ambientales que fomenten la inversión: • en infraestructuras básicas imprescindibles y el apoyo a la industria limpia,
• en los servicios públicos,
• en una sólida política de cohesión, con el fin de promover la cohesión social, territorial y económica,
• en la economía social, como generadora de empleo de mayor calidad, más estable y democrático,
• en la protección del medio ambiente y en las tecnologías limpias,
• en la mejora de las normas laborales, sociales, ambientales y de seguridad, a fin de conseguir una armonización europea en el nivel más exigente,
• en la protección social, con el fin de erradicar la pobreza y luchar contra la exclusión social,
• en la implantación de la renta básica que garantice a todas las personas una existencia digna,
• en la instauración de un sistema de protección a las personas dependientes,
• en la investigación y la innovación (públicas), con el fin de garantizar que estas actividades beneficien a todas las personas,
• en la promoción de la cultura y la participación civil;",A102,B103,,MEDIOS DE PRODUCCIÓN,,,,,
2,La aplicación inmediata de la resolución del Parlamento Europeo de octubre de 2008 por la que se propone que el salario mínimo sea al menos el 60% de salario medio neto de cada estado.,000,,,,,,,,
3,"La adopción de las Directivas pertinentes orientadas a mejorar la estabilidad y la calidad del trabajo en todos sus aspectos (salarios, estabilidad, condiciones laborales y formación) y en la mejora de las cualificaciones,",000,,,,,,,,
4,"En los temas financieros, la crisis hace evidente lo determinante que son los créditos. Estos deben convertirse en un servicio público y dirigirse hacia los sectores productivos de la economía y hacia lo colectivo, hacia las prioridades sociales y ambientales de empleo. Hay que reorganizar el ciclo completo de prioridades y partir desde lo más próximo a la ciudadanía: los pueblos, las ciudades, las comarcas y las Comunidades Autónomas, para luego llegar hasta el Banco Central Europeo. Para hacer posible esta reorientación de los créditos y el dinero, defendemos el control público y social del sistema bancario y financiero. Defendemos los derechos de las personas trabajadoras y de sus organizaciones, así como de los representantes municipales y locales a ejercer el control sobre los créditos y los subsidios.",B103,,,GESTIÓN,SERVICIOS FINANCIEROS,,,,
5,"Proponemos el control democrático sobre el Banco Central Europeo. Debe crearse un procedimiento para que el BCE rinda cuentas ante la ciudadanía. Es inaceptable que una institución tan poderosa no pueda ser cuestionada por los representantes de la ciudadanía. A su vez, la Constitución Europea debe recoger que el BCE tiene la responsabilidad de apoyar el desarrollo sostenible, la inversión y el empleo y no la estabilidad y, así, apoyar el objetivo del pleno empleo.",B202,,,RdC UE,,,,,
6,"Es necesario mejorar los mecanismos de convergencia. La Izquierda Europea propone generar mecanismos para hacer más equitativo el sistema productivo europeo. Es necesario reequilibrar la actual división entre estados exportadores, como Alemania, Francia o Italia, y estados importadores como España. Estos últimos se ven obligados a un endeudamiento excesivo y a presentar una balanza comercial muy deficitaria.",A101,,,COMPETITIVIDAD INDUSTRIAL,,,,,
7,"Los bienes comunes y los sectores económicos estratégicos, incluyendo el sistema de créditos y el sistema financiero, deben socializarse mediante mecanismos de propiedad y gestión públicas y sometimiento en su actividad a políticas democráticamente aprobadas (nacionalizarse), puesto que existe la necesidad de recuperar y profundizar un nuevo sistema general de Bienestar a escala europea. La privatización de servicios públicos debe invertirse. Necesitamos elevar los salarios de las personas trabajadoras.",B103,,,GESTIÓN,SERVICIOS FINANCIEROS,,,,
8,"Exigimos la necesidad de reforzar la negociación colectiva y los derechos de los trabajadores, con reconocimiento del derecho de huelga en el conjunto de la UE.",000,,,,,,,,
9,Rechazamos la directiva europea de la jornada laboral que permite la flexibilidad total y la individualización del trabajo.,000,,,,,,,,
10,"Estamos por la jornada de 35 horas semanales en todo el ámbito europeo. Aceptamos un máximo de 5 horas extraordinarias que, junto a las citadas 35 horas, sumarían una jornada máxima de 40 horas semanales. Todas las normas europeas y estatales sobre la jornada laboral deben adecuarse a este principio. Defendemos además las regulaciones estatales que mejoran esa jornada laboral.",000,,,,,,,,
