,,CODIFICACIÓN,,,ETIQUETADO,,,
1,Instar a la pronta entrada en vigor del Tratado de Lisboa.,000,,,,,,
2,"Lograr un acuerdo interinstitucional entre Consejo, Parlamento y Comisión para la provisión de los cargos de la Presidencia del Consejo, de la Comisión y del Alto Representante de la Política Exterior.",000,,,,,,
3,Apoyar los tríos presidenciales en las rotaciones del Consejo para sacar el máximo partido de la Presidencia España-Bélgica-Hungría.,000,,,,,,
4,Apoyar al presidente de la Comisión para buscar una fórmula que dote de mayor eficacia y eficiencia a dicha institución sin perder su carácter colegial.,000,,,,,,
5,Activar las potencialidades del Eurogrupo.,000,,,,,,
6,Impulsar nuevas reglas para la supervisión financiera.,000,,,,,,
7,Proveer el cargo de fiscal general para la defensa de los intereses financieros de la Unión Europea.,000,,,,,,
8,Abogar por la puesta en marcha inmediata del sistema de alerta temprana que permita a los Parlamentos nacionales el control del principio de subsidiariedad.,000,,,,,,
9,Poner en funcionamiento la iniciativa popular que permitirá a los ciudadanos instar leyes europeas.,000,,,,,,
10,Potenciar encuentros como Ágora para recoger las aspiraciones de la sociedad civil.,000,,,,,,
11,Impulsar la creación de un servicio exterior como apoyo diplomático del Alto Representante.,000,,,,,,
12,Apoyar la creación de cooperaciones estructuradas en materia de seguridad y defensa.,000,,,,,,
13,"Fortaleceremos la Agencia Europea de Armamento, Investigación y Capacidades Militares.",000,,,,,,
14,Favorecer la creación del Comité de Seguridad Interior.,000,,,,,,
15,Desarrollar las políticas relativas a la integración social de los inmigrantes.,C101,,,INTEGRACIÓN,REGULACIÓN,,
16,Desarrollar el papel de Europol y Eurojust en la lucha contra el terrorismo y el crimen transnacional.,000,,,,,,
17,Activar los nuevos poderes legislativos del Parlamento Europeo en el ámbito de la agricultura y la pesca.,000,,,,,,
18,Aprovechar las nuevas competencias del Parlamento Europeo para la aprobación de la totalidad de los gastos del presupuesto comunitario para conseguir una mejor defensa de los intereses españoles.,000,,,,,,
19,Desarrollaremos una acción política sistemática y coordenada en todas instituciones de la Unión Europea para que el español pueda pasar a ser la cuarta lengua de trabajo de la Unión Europea y lengua “pivote” en los procesos de interpretación.,000,,,,,,
20,Velaremos por que se facilite y promueva la disponibilidad de interpretes y traductores de y al español desde y hacía las demás lenguas de la Unión y en especial de las lenguas de los nuevos Estados miembros. Así como por la promoción de la enseñanza del español entre los funcionarios de las Instituciones.,000,,,,,,
21,"Eliminación de los elementos arbitrarios que fueron introducidos en el mismo de forma que el Pacto de Estabilidad sea formado por reglas sencillas, claras y de obligado cumplimiento para todos los países.",000,,,,,,
22,Explicitar los compromisos plurianuales de gastos en los programas de estabilidad de los países miembros.,000,,,,,,
23,Agilizar los procedimientos por déficit excesivos de forma que se incremente la presión política sobre aquellos países que incumplan de forma reiterada sus obligaciones presupuestarias.,000,,,,,,
24,"Introducir criterios de sostenibilidad a largo plazo, como el envejecimiento de la población, o los déficits exteriores excesivos en los objetivos de estabilidad presupuestaria.",000,,,,,,
25,Avanzar en la integración de los mercados financieros europeos.,000,,,,,,
26,"Reformar el marco normativo para restablecer la transparencia de los productos, las entidades y los mercados financieros.",000,,,,,,
27,"Avanzar hacia un sistema europeo de supervisión liderado por el Banco Central Europeo cuya función sería prevenir futuras crisis sistémicas y reforzará la coordinación de los Comités Europeos encargados de la supervisión de Bancos, Seguros y Bolsas permitiéndoles armonizar reglas y procedimientos y mediar en los conflictos entre las autoridades nacionales.",000,,,,,,
28,"La creación de un comité de regulación financiera en el seno del Eurogrupo. Este comité realizaría propuestas legislativas que se elevarían al Ecofin y al Parlamento Europeo y coordinaría la posición de los países pertenecientes a la Eurozona de cara a tener una posición única en el G20, el Consejo de Estabilidad Financiera (FSB), Comité de Basilea, y Fondo Monetario Internacional.",000,,,,,,
29,"Aprobación de un reglamento de ayudas de estado al sistema financiero que establezca los límites de los procesos de reestructuración bancaria. Se trataría de evitar la arbitrariedad de estos procesos, las nacionalizaciones encubiertas, la competencia desleal y la ingerencia política en el sistema bancario.",000,,,,,,
30,Eliminación del secreto bancario dentro de las fronteras de la Unión Europea y en territorios dependientes de la Unión Europea. Asimismo endurecer las restricciones a las transacciones económicas con los territorios que mantenga prácticas de secreto bancario fuera de la Unión Europea.,000,,,,,,
31,"Aprobación de un conjunto de directivas europeas que, de acuerdo con las propuestas de los organismos internacionales, creen un marco de regulación básico y suficientemente amplio para todos los participantes en los mercados financieros. Se debe garantizar una supervisión mínima de todos aquellos agentes que puedan presentar un riesgo al conjunto del sistema. Esta nueva regulación deberá insistir en todas aquellas normas que tienen un carácter anticíclico, para evitar los excesos en los que suele caer el mercado financiero tras largas etapas de crecimiento.",A402,,,,,,
32,"Aprobación de un marco europeo de regulación para las agencias de rating y las entidades tasadoras de inmuebles, de forma que se eliminen los conflictos de interés.",000,,,,,,
33,"Elaboración de una carta europea de derechos de los consumidores de servicios financieros para la protección de los particulares y de las pequeñas y medianas empresas. Se debe hacer especial hincapié en los derechos de los usuarios finales a tener información veraz sobre los productos financieros que están contratando, así como de los riesgos a los que se enfrentan.",000,,,,,,
34,"Elaboración por parte de la Comisión de una evaluación sobre la salud del sistema financiero de cada Estado miembro, así como un informe específico sobre el grado de cumplimiento del sistema financiero con la nueva normativa europea y los principios internacionales.",000,,,,,,
35,"Exigir a la Comisión que vigile estrechamente el cumplimiento de la legislación comunitaria, de forma que los Estados miembros no puedan establecer obstáculos a las operaciones transfronterizas y se cree un verdadero mercado único financiero para Europa.",A401,,,,,,
36,"Poner en marcha una auténtica representación exterior del euro. Al renunciar a tener una voz única, los europeos están renunciando a todas las ventajas que podría darles el hecho de ser titulares de la segunda moneda del mundo.",000,,,,,,
37,"Diseñar una nueva arquitectura financiera a nivel global, dando un papel renovado a las instituciones nacidas de Bretton Woods, como el Fondo Monetario Internacional, el Banco Mundial o el Consejo de Estabilidad Financiera. El Consejo de Estabilidad financiera deberá definir el “perímetro de regulación”; es decir, definir qué instituciones productos y mercados deben estar sujetas a reglamentación y cuales son las normas apropiadas. Corresponderá al Fondo monetario Internacional analizar los riesgos y vulnerabilidades del sistema financiero internacional.",000,,,,,,
38,"Reclamaremos que el Banco Central Europeo en su política de fijación de los tipos de interés, siga atentamente la evolución de la inflación en la zona euro y además la evolución de los desequilibrios externos, los precios de los activos inmobiliarios y la volatilidad financiera.",000,,,,,,
39,"Apoyaremos al Banco Central Europeo en sus políticas de bajadas de tipos de interés mientras dure el riesgo de deflación y el alto endeudamiento de la economía española e incluso en la utilización de instrumentos adicionales para aumentar la liquidez, similares a los que ya están utilizando los Bancos Centrales de Estados Unidos y Japón.",000,,,,,,
40,"Institucionalizar el Eurogrupo como reunión formal con capacidad de decisión y normativa, con reuniones anuales a nivel de Jefes de Estado y de Gobierno.",000,,,,,,
41,Cambiar el régimen del IVA en la directiva de la Unión Europea de forma que el impuesto se pague en el momento del cobro de la factura y no en la emisión de la misma. El cambio de criterio de devengo del impuesto permitirá a las PYMES y a los autónomos pagar el impuesto cuando realmente hayan cobrado la deuda y no antes como ahora.,000,,,,,,
