,,CODIFICACIÓN,,,ETIQUETADO,,,,
1,"Los socialistas españoles trabajaremos por un gran pacto para la superación de la crisis y el impulso de un nuevo modelo de crecimiento altamente productivo, que apueste por sectores innovadores, que sea medioambientalmente sostenible, que cree empleo de calidad y bien protegido, que respete los derechos sindicales, que evite competencia desleal dentro de la UE con menor protección o salarios más bajos, que reparta con justicia beneficios, cargas y responsabilidades.",A401,,,,,,,
2,"Contribuir a revertir la crisis económica y de empleo actual es la primera de las prioridades de la Presidencia española de la Unión en 2010. Superar la crisis e iniciar una nueva etapa de crecimiento con nuevos y más cualificados empleos exige innovación, políticas, recursos, evitar el populismo y las tentaciones proteccionistas. No hay tampoco respuesta en el abaratamiento del despido ni en el debilitamiento de la cohesión. La hay en el aumento de nuestra competitividad, la excelencia económica, el mantenimiento del diálogo social, el avance de la igualdad y la sostenibilidad, medida no sólo en términos medioambientales sino de inclusión social. Eso distingue claramente la posición progresista de la propuesta de los conservadores.",A401,,,,,,,
3,"Para aumentar nuestra capacidad de competir hay que apostar por la innovación, el conocimiento, por las tecnologías de la información, por la educación de calidad, por la formación continua, en especial de los trabajadores, por una universidad altamente cualificada, por la creación de clusters tecnológicos, por una economía cero en carbono.",000,,,,,,,
4,"Proponemos retomar el impulso de la Estrategia de Lisboa, revisarla en 2010 y reformularla con objetivos más ambiciosos y poniendo a su disposición los medios presupuestarios necesarios que han sido recortados en el periodo que ahora concluye.",000,,,,,,,
5,"Nosotros apoyamos un ambicioso nuevo Plan de Acción energético para Europa en el horizonte de 2012, en el marco de una Política Energética Europea basada en la sostenibilidad, diversificación de las fuentes y la solidaridad entre los miembros de la Unión en los casos de crisis.",D302,,,ENERGÍA,,,,
6,"Por razones de eficiencia económica, ahorro energético, lucha contra el cambio climático, movilidad y comodidad para la ciudadanía, los socialistas apoyamos la intensa transformación del transporte en Europa, apostando por las redes ferroviarias y entre ellas por la alta velocidad, y por la comunicación intermodal que comunique competitivamente las ciudades y regiones de la Unión, en la línea del Plan Estratégico de Infraestructuras del Transporte que estamos ejecutando en España.",D402,,,SECTORES ENERGÉTICOS,,,,
7,"Los progresistas no sólo queremos crear empleo, sino empleo de calidad, incentivos a favor de los colectivos más vulnerables: mujeres de mediana edad, trabajadores de escasa cualificación, personas con discapacidad; relaciones más dinámicas entre las universidades y otros centros educativos y los recursos del sistema de protección social, y las empresas. En este sentido, proponemos la consolidación de un “Erasmus” laboral o un Programa Europeo de FP y la priorización de empleos en educación, sanidad, servicios sociales, atención a la dependencia y en la llamada economía verde.",C102,,,IGUALDAD DE GÉNERO,DIVERSIDAD FUNCIONAL,REGULACIÓN,,
8,"De todos los retos que afronta el mundo actual, el que más nos compromete a todos es el del cambio climático. Aquí nos jugamos mucho más que el futuro, nos arriesgamos incluso a que no haya futuro. Aunque abundan los negacionistas del cambio climático entre las filas conservadoras, los socialistas somos plenamente conscientes de la necesidad de dar un giro hacia el color verde de nuestro sistema productivo y de nuestra forma de vida. Queremos que Europa sea la vanguardia, asuma compromisos y actúe de acicate y ejemplo para dejar un legado sostenible a los más jóvenes.",A102,,,MEDIOS DE PRODUCCIÓN,EFICIENCIA CONSUMO,,,
9,"La Unión debe asumir la iniciativa para alcanzar, en la cumbre de Naciones Unidas a finales de 2009 en Copenhague, un acuerdo global de reducción de emisiones. Los socialistas españoles promoveremos que Europa esté dispuesta a llegar, como mínimo, al 30%, tendiendo al 40%, en el horizonte de 2020, siempre que asuman compromisos equivalentes los grandes emisores industrializados. Apoyamos la transferencia de tecnología a los países en desarrollo para luchar contra el cambio climático.",D202,,,CAMBIO CLIMÁTICO Y ENERGÍA,,,,
10,"Los socialistas españoles entendemos que no es posible plantear ninguna estrategia de sostenibilidad basada en una economía verde que no pase por asentar los equilibrios entre conservación y explotación del medio ambiente y el protagonismo del medio rural, la defensa de la biodiversidad, la protección del patrimonio natural. Abogamos por una Estrategia Europea de Desarrollo Rural en la línea de la ley española de desarrollo Sostenible del Medio Rural, instrumento además imprescindible para luchar contra el éxodo crónico que desequilibra el desarrollo europeo..",D302,,,ECONOMÍA E INCENTIVOS,,,,
